ensembl_id_stripped	gene_symbol	source_map	present_in_hvg	present_in_raw	duplicated_symbol_in_raw	notes
ENSG00000235782	AL031429.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000249379	AL033397.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000271367	AL034374.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000237863	AL035425.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000274173	AL035661.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000225938	AL109741.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000223714	AL109797.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000230387	AL118508.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000272009	AL121944.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000236961	AL136131.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000236069	AL136987.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000244757	AL137024.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000229664	AL137186.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000176320	AL138899.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000272449	AL139246.5	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000227482	AL157702.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000233968	AL157895.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000230537	AL158071.3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000223342	AL158817.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000232939	AL158829.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000272871	AL159169.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000275216	AL161431.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000278698	AL162574.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000229312	AL353693.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000259001	AL355075.4	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000273132	AL355312.4	10x_features / GTF	True	True	False	from raw.gene_symbol
